hotel,NoofRooms,NoofRoomsOccupied,OccupancyRate,AverageRoomRate,RoomRevenue,FBRevenue,RoomDep,FBDep,AdmDep,OtherDep,Month,location
RegentTaipei,538,12041,0.722,5592,67337241,131585722,269,584,156,21,2015-05-01,Taipei
SherwoodTaipei,343,7665,0.7209,5249,40232036,36882869,152,239,55,70,2015-05-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,5975,0.4589,7052,42132956,67309784,174,241,74,77,2015-05-01,Taipei
WestinTaipei,288,6420,0.7191,6349,40758233,73030971,134,278,172,0,2015-05-01,Taipei
MiramarGardenTaipei,203,5220,0.8295,2578,13457448,6961196,78,54,35,0,2015-05-01,Taipei
LeMeridienTaipei,160,3389,0.6833,9367,31744176,74152052,90,338,117,0,2015-05-01,Taipei
WTaipei,405,9187,0.7317,9256,85030427,68397146,186,216,124,0,2015-05-01,Taipei
FirstHotel,176,4803,0.8803,1961,9419848,4692549,14,0,16,13,2015-05-01,Taipei
LeofooHotelTaipei,226,5957,0.8503,1646,9807296,12451784,33,79,9,17,2015-05-01,Taipei
HotelRoyalBeitou,50,217,0.14,5794,1257271,1882607,17,13,2,66,2015-05-01,Taipei
RivieraHotel,112,1930,0.5559,3403,6568587,7362509,48,51,31,0,2015-05-01,Taipei
TaipeiGalaHotel,150,3790,0.8151,3076,11657006,9924849,35,61,28,14,2015-05-01,Taipei
CosmosHotelTaipei,225,6612,0.948,3146,20799255,34060633,79,78,14,34,2015-05-01,Taipei
FullonHotelTaipeiCentral,120,2968,0.7978,3579,10621693,17204036,46,94,12,8,2015-05-01,Taipei
CapitalHotel,129,3319,0.83,4331,14374589,2766123,40,50,16,38,2015-05-01,Taipei
PalaisdeChineHotel,286,6431,0.7254,4970,31963335,51915310,126,168,66,0,2015-05-01,Taipei
TaipeiGardenHotel,241,6442,0.8623,2363,15221673,26681959,57,106,27,24,2015-05-01,Taipei
RadiumKagayaInternationalHotel,90,1044,0.3742,7502,7831919,8942622,87,55,29,12,2015-05-01,Taipei
GrandViewResortBeitou,66,838,0.4096,12159,10189594,9573678,38,72,3,62,2015-05-01,Taipei
HumbleHouseTaipei,235,5169,0.7095,6345,32797574,26346405,89,117,83,0,2015-05-01,Taipei
GrandHotelTaipei,500,6621,0.4414,4162,27554931,42545066,135,208,121,54,2015-06-01,Taipei
AmbassadorHotelTaipei,422,9989,0.789,4050,40452785,96300813,132,288,42,51,2015-06-01,Taipei
ImperialHotelTaipei,326,8293,0.848,3340,27694500,9735219,80,76,4,42,2015-06-01,Taipei
GloriaPrinceHotelTaipei,211,5195,0.8207,3315,17220061,12737404,75,112,77,7,2015-06-01,Taipei
EmperorHotel,98,2208,0.751,1751,3866031,948747,34,16,20,0,2015-06-01,Taipei
HotelRiverviewTaipei,211,4219,0.6665,2388,10075698,2632132,63,30,17,0,2015-06-01,Taipei
CaesarParkTaipei,478,12452,0.8683,3736,46521239,20528456,78,116,24,49,2015-06-01,Taipei
GoldenChinaHotel,215,4948,0.7671,3008,14885940,11456626,59,85,36,0,2015-06-01,Taipei
SanWant,268,7651,0.9516,3201,24493351,30394329,94,230,70,0,2015-06-01,Taipei
BrotherHotelTaipei,250,5477,0.7303,3148,17243564,43525683,110,295,72,13,2015-06-01,Taipei
SantosHotel,286,7380,0.8601,2753,20317360,11069774,71,70,26,22,2015-06-01,Taipei
LandisTaipei,209,4600,0.7337,4751,21855435,17774822,67,107,39,43,2015-06-01,Taipei
UnitedHotel,243,3800,0.5213,3172,12055261,2917043,58,28,5,38,2015-06-01,Taipei
SheratonGrandeTaipeiHotel,692,12707,0.6121,6013,76408810,108873567,224,453,193,46,2015-06-01,Taipei
HotelRoyalNikkoTaipei,202,5392,0.8898,4987,26888427,22421596,77,141,24,46,2015-06-01,Taipei
HowardPlazaHotelTaipei,606,12740,0.7008,4270,54398e3,50103e3,224,363,81,75,2015-06-01,Taipei
GrandHyattTaipei,853,15098,0.59,8321,125634516,94421801,185,353,152,65,2015-06-01,Taipei
RegentTaipei,538,12175,0.7543,5620,68425159,136735688,270,582,162,20,2015-06-01,Taipei
SherwoodTaipei,343,7849,0.7628,5338,41895067,30438928,143,240,51,72,2015-06-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,5966,0.4735,7361,43918530,58418506,173,239,74,81,2015-06-01,Taipei
WestinTaipei,288,6543,0.7573,6596,43158852,68324619,137,264,192,0,2015-06-01,Taipei
MiramarGardenTaipei,203,5215,0.8563,2604,13579416,6971237,74,53,33,0,2015-06-01,Taipei
LeMeridienTaipei,160,3516,0.7325,9383,32990724,64404428,77,332,118,0,2015-06-01,Taipei
WTaipei,405,9739,0.8016,9804,95485820,65568995,181,216,120,0,2015-06-01,Taipei
FirstHotel,176,4243,0.8036,2098,8901664,4357526,13,0,13,14,2015-06-01,Taipei
LeofooHotelTaipei,226,4869,0.7181,1713,8338944,11751567,33,76,9,17,2015-06-01,Taipei
HotelRoyalBeitou,50,362,0.2413,4452,1611692,1827700,27,29,2,46,2015-06-01,Taipei
RivieraHotel,112,1759,0.5235,3329,5855669,4802580,46,54,32,0,2015-06-01,Taipei
TaipeiGalaHotel,150,3668,0.8151,3187,11689234,8437788,37,60,28,14,2015-06-01,Taipei
CosmosHotelTaipei,225,6373,0.9441,3222,20533671,30976074,85,80,17,35,2015-06-01,Taipei
FullonHotelTaipeiCentral,120,2403,0.6675,3805,9142916,12715501,44,91,11,8,2015-06-01,Taipei
CapitalHotel,129,3280,0.8475,4327,14192560,3085761,38,49,14,38,2015-06-01,Taipei
PalaisdeChineHotel,286,7244,0.8443,4917,35616981,49342080,124,165,65,0,2015-06-01,Taipei
TaipeiGardenHotel,241,6530,0.9032,2315,15113962,24996667,58,96,27,24,2015-06-01,Taipei
RadiumKagayaInternationalHotel,90,781,0.2893,7788,6082366,6881208,87,56,28,13,2015-06-01,Taipei
GrandViewResortBeitou,66,742,0.3747,11714,8691724,5976005,38,59,3,60,2015-06-01,Taipei
HumbleHouseTaipei,235,5332,0.7563,6425,34255722,26044377,83,117,82,0,2015-06-01,Taipei
GrandHotelTaipei,500,7109,0.4586,4077,28984698,45844680,132,209,126,54,2015-07-01,Taipei
AmbassadorHotelTaipei,422,9402,0.7187,3565,33521443,92725361,136,304,45,52,2015-07-01,Taipei
ImperialHotelTaipei,326,8031,0.7947,3110,24978502,7566454,79,75,4,42,2015-07-01,Taipei
GloriaPrinceHotelTaipei,199,4636,0.7515,3053,14151662,9921282,75,120,76,7,2015-07-01,Taipei
EmperorHotel,98,2453,0.8074,1641,4025054,971814,32,14,20,0,2015-07-01,Taipei
HotelRiverviewTaipei,211,5083,0.7771,2251,11439840,1320734,70,30,17,0,2015-07-01,Taipei
CaesarParkTaipei,478,12627,0.8521,3646,46036706,10806821,86,113,24,49,2015-07-01,Taipei
GoldenChinaHotel,215,4684,0.7028,2870,13445026,11134611,58,87,40,0,2015-07-01,Taipei
SanWant,268,7906,0.9516,2911,23013475,26460905,95,225,69,0,2015-07-01,Taipei
BrotherHotelTaipei,250,5534,0.7141,2989,16540760,44966946,110,295,72,13,2015-07-01,Taipei
SantosHotel,285,7300,0.8263,2627,19174850,11733005,70,72,26,22,2015-07-01,Taipei
LandisTaipei,209,4317,0.6663,4370,18865483,16043805,68,114,37,43,2015-07-01,Taipei
UnitedHotel,243,3686,0.4893,2863,10553523,2473395,57,33,5,39,2015-07-01,Taipei
SheratonGrandeTaipeiHotel,688,13164,0.6172,5611,73861905,108286875,223,452,203,45,2015-07-01,Taipei
HotelRoyalNikkoTaipei,202,5751,0.9184,4421,25423576,21493579,74,141,24,46,2015-07-01,Taipei
HowardPlazaHotelTaipei,606,12412,0.6607,3759,46657e3,49306e3,234,376,83,78,2015-07-01,Taipei
GrandHyattTaipei,853,14147,0.535,6603,93419182,69049459,147,355,183,74,2015-07-01,Taipei
RegentTaipei,538,12432,0.7454,5335,66319892,122681382,284,628,164,20,2015-07-01,Taipei
SherwoodTaipei,343,7422,0.698,4848,35985229,28502136,153,258,54,65,2015-07-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,5855,0.4497,6937,40616213,50597081,169,243,73,81,2015-07-01,Taipei
WestinTaipei,288,6053,0.678,5993,36277491,59187916,140,235,228,0,2015-07-01,Taipei
MiramarGardenTaipei,203,5210,0.8279,2308,12025381,6269873,90,59,34,0,2015-07-01,Taipei
LeMeridienTaipei,160,3310,0.6673,9082,30060438,61423602,108,240,91,0,2015-07-01,Taipei
WTaipei,405,9573,0.7625,9083,86948689,56971362,186,225,114,0,2015-07-01,Taipei
FirstHotel,176,4244,0.7779,1972,8370308,3368768,14,0,14,14,2015-07-01,Taipei
LeofooHotelTaipei,226,5348,0.7633,1662,8889086,11389483,33,77,10,16,2015-07-01,Taipei
HotelRoyalBeitou,50,309,0.1994,4755,1469423,1570241,25,27,2,41,2015-07-01,Taipei
RivieraHotel,112,1547,0.4456,3261,5044075,6015259,49,53,29,0,2015-07-01,Taipei
TaipeiGalaHotel,150,3641,0.783,2967,10804460,6840522,36,61,28,14,2015-07-01,Taipei
CosmosHotelTaipei,225,6647,0.953,3187,21185522,23545707,82,84,17,28,2015-07-01,Taipei
FullonHotelTaipeiCentral,120,2136,0.5742,3616,7723218,12174027,44,85,11,12,2015-07-01,Taipei
CapitalHotel,129,3139,0.7849,4324,13573036,2951517,37,51,11,38,2015-07-01,Taipei
PalaisdeChineHotel,286,6981,0.7874,4687,32721201,49323867,121,185,64,0,2015-07-01,Taipei
TaipeiGardenHotel,241,6749,0.9034,2225,15016380,24488967,54,90,28,24,2015-07-01,Taipei
RadiumKagayaInternationalHotel,90,721,0.2584,6947,5008780,5463963,79,57,28,14,2015-07-01,Taipei
GrandViewResortBeitou,66,786,0.3842,11837,9304187,7690028,38,65,3,57,2015-07-01,Taipei
HumbleHouseTaipei,235,5609,0.7699,5787,32458212,21072870,80,107,83,0,2015-07-01,Taipei
GrandHotelTaipei,500,8653,0.5583,3903,33769180,39780168,132,212,125,53,2015-08-01,Taipei
AmbassadorHotelTaipei,422,10379,0.7934,3317,34432118,83564674,135,313,42,59,2015-08-01,Taipei
ImperialHotelTaipei,326,8408,0.832,3171,26662495,7493211,78,77,4,42,2015-08-01,Taipei
GloriaPrinceHotelTaipei,200,4522,0.7294,2804,12681002,8731205,77,119,77,7,2015-08-01,Taipei
EmperorHotel,98,2558,0.842,1674,4281138,1027331,32,15,20,0,2015-08-01,Taipei
HotelRiverviewTaipei,211,6046,0.9243,2346,14184075,901301,72,28,18,0,2015-08-01,Taipei
CaesarParkTaipei,478,14382,0.9706,3578,51454490,14550459,86,112,25,49,2015-08-01,Taipei
GoldenChinaHotel,215,5230,0.7847,2852,14917051,9984879,60,89,40,0,2015-08-01,Taipei
SanWant,268,7922,0.9535,2829,22413251,27865521,104,224,58,0,2015-08-01,Taipei
BrotherHotelTaipei,250,4815,0.6213,2892,13922707,45334774,110,295,72,13,2015-08-01,Taipei
SantosHotel,287,7973,0.8961,2622,20902116,14269115,70,68,25,23,2015-08-01,Taipei
LandisTaipei,209,5399,0.8333,4307,23255353,13735061,64,113,34,42,2015-08-01,Taipei
UnitedHotel,243,4329,0.5747,2632,11393691,2818542,56,33,5,36,2015-08-01,Taipei
SheratonGrandeTaipeiHotel,688,14367,0.6736,5574,80085543,94167689,223,461,205,46,2015-08-01,Taipei
HotelRoyalNikkoTaipei,202,5723,0.9139,4541,25990862,21418121,74,147,24,47,2015-08-01,Taipei
HowardPlazaHotelTaipei,606,12658,0.6738,3942,49893e3,44877e3,238,376,83,76,2015-08-01,Taipei
GrandHyattTaipei,853,14729,0.557,5732,84420686,59525388,147,356,179,72,2015-08-01,Taipei
RegentTaipei,538,13196,0.7912,5531,72982831,99934330,279,577,168,20,2015-08-01,Taipei
SherwoodTaipei,343,8153,0.7668,4837,39438031,32269715,155,255,53,66,2015-08-01,Taipei
TaipeiMarriottHotel,244,285,0.0377,6060,1727030,6393387,101,132,45,26,2015-08-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,6496,0.4989,6617,42981312,46385667,167,244,72,82,2015-08-01,Taipei
WestinTaipei,288,6751,0.7562,5691,38418286,57612141,141,249,206,0,2015-08-01,Taipei
MiramarGardenTaipei,203,5705,0.9066,2245,12806532,7005083,85,55,33,0,2015-08-01,Taipei
LeMeridienTaipei,160,3765,0.7591,8379,31547062,51511093,106,242,90,0,2015-08-01,Taipei
WTaipei,405,9838,0.7836,9122,89739615,54042066,198,219,100,0,2015-08-01,Taipei
FirstHotel,176,4476,0.8204,1985,8886223,3204641,14,0,14,14,2015-08-01,Taipei
LeofooHotelTaipei,226,6447,0.9202,1587,10230224,12217381,34,79,10,17,2015-08-01,Taipei
HotelRoyalBeitou,50,405,0.2613,5396,2185233,2547193,24,29,2,43,2015-08-01,Taipei
RivieraHotel,112,1815,0.5228,3267,5930036,4881785,50,50,30,0,2015-08-01,Taipei
TaipeiGalaHotel,150,4e3,0.8602,2864,11454470,5565550,34,62,28,14,2015-08-01,Taipei
CosmosHotelTaipei,225,6697,0.9601,3150,21098378,18502068,85,89,19,30,2015-08-01,Taipei
FullonHotelTaipeiCentral,120,2568,0.6903,3550,9116386,8909844,43,86,12,11,2015-08-01,Taipei
CapitalHotel,129,3410,0.8527,4141,14120810,2998230,37,51,13,34,2015-08-01,Taipei
PalaisdeChineHotel,286,7712,0.8698,4753,36652877,45776333,127,179,68,0,2015-08-01,Taipei
TaipeiGardenHotel,241,6999,0.9368,2272,15903155,19077884,63,94,27,23,2015-08-01,Taipei
RadiumKagayaInternationalHotel,90,1066,0.3821,6409,6832279,7457207,79,57,30,13,2015-08-01,Taipei
GrandViewResortBeitou,66,928,0.4536,12015,11150290,5799867,38,69,3,60,2015-08-01,Taipei
HumbleHouseTaipei,235,6051,0.8306,5800,35098710,21277881,94,123,86,0,2015-08-01,Taipei
GrandHotelTaipei,500,7380,0.492,3977,29351524,46751401,134,216,131,45,2015-09-01,Taipei
AmbassadorHotelTaipei,422,9183,0.7254,3784,34752945,111831713,134,315,43,60,2015-09-01,Taipei
ImperialHotelTaipei,326,7719,0.7893,3237,24988808,13073347,79,78,4,41,2015-09-01,Taipei
GloriaPrinceHotelTaipei,210,4705,0.7468,3162,14876155,9569674,77,117,76,6,2015-09-01,Taipei
EmperorHotel,98,2404,0.8177,1618,3890679,957358,31,16,20,0,2015-09-01,Taipei
HotelRiverviewTaipei,211,5105,0.8065,2285,11665513,2581743,69,24,18,0,2015-09-01,Taipei
CaesarParkTaipei,478,12908,0.9001,3473,44833317,9263911,84,111,24,48,2015-09-01,Taipei
GoldenChinaHotel,215,4688,0.7268,2901,13598875,10265858,60,86,36,0,2015-09-01,Taipei
SanWant,268,7552,0.9393,2871,21684339,27651613,95,223,72,0,2015-09-01,Taipei
BrotherHotelTaipei,250,3838,0.5117,3048,11699938,39347037,110,295,72,13,2015-09-01,Taipei
SantosHotel,284,6626,0.7777,2729,18084407,10344596,72,77,27,23,2015-09-01,Taipei
LandisTaipei,209,5072,0.8089,4415,22394050,15462798,64,112,35,42,2015-09-01,Taipei
UnitedHotel,243,4498,0.617,2597,11682185,2820139,61,36,5,40,2015-09-01,Taipei
SheratonGrandeTaipeiHotel,688,13614,0.6596,5693,77505508,115746380,224,463,205,44,2015-09-01,Taipei
HotelRoyalNikkoTaipei,202,5426,0.8954,4702,25512854,34278365,74,147,24,47,2015-09-01,Taipei
HowardPlazaHotelTaipei,606,9945,0.547,4160,41372e3,52046e3,239,380,77,76,2015-09-01,Taipei
GrandHyattTaipei,853,15538,0.6072,6376,99068940,80927379,149,360,177,76,2015-09-01,Taipei
RegentTaipei,538,11313,0.7009,5794,65548112,99033573,280,593,168,20,2015-09-01,Taipei
SherwoodTaipei,343,7412,0.7203,4966,36804500,37007543,153,253,63,63,2015-09-01,Taipei
TaipeiMarriottHotel,244,1536,0.2098,5800,8909455,14029861,94,136,41,26,2015-09-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,5755,0.4567,6824,39270277,61086928,165,240,71,83,2015-09-01,Taipei
WestinTaipei,288,6105,0.7066,5912,36092147,64131167,140,297,155,0,2015-09-01,Taipei
MiramarGardenTaipei,203,5122,0.8411,2455,12574643,6122977,78,55,32,0,2015-09-01,Taipei
LeMeridienTaipei,160,3435,0.7156,8815,30278231,64772148,104,242,94,0,2015-09-01,Taipei
WTaipei,405,9893,0.8142,9118,90204073,64985116,199,216,99,0,2015-09-01,Taipei
FirstHotel,176,4162,0.7883,1987,8271311,2882500,13,0,15,14,2015-09-01,Taipei
LeofooHotelTaipei,226,5417,0.799,1592,8621722,10373274,33,78,10,16,2015-09-01,Taipei
HotelRoyalBeitou,50,557,0.3713,5252,2925179,2610632,24,27,2,43,2015-09-01,Taipei
RivieraHotel,112,1753,0.5217,3240,5680029,8183534,49,46,30,0,2015-09-01,Taipei
TaipeiGalaHotel,150,3663,0.814,3099,11353266,5582995,31,61,27,14,2015-09-01,Taipei
CosmosHotelTaipei,225,6363,0.9427,3087,19641801,28282020,84,90,19,32,2015-09-01,Taipei
FullonHotelTaipeiCentral,120,2279,0.6331,3458,7880983,11319858,46,87,11,10,2015-09-01,Taipei
CapitalHotel,129,3195,0.8256,4146,13246470,3621603,36,53,14,38,2015-09-01,Taipei
PalaisdeChineHotel,286,6523,0.7603,4830,31506999,47829792,127,173,66,0,2015-09-01,Taipei
TaipeiGardenHotel,241,6303,0.8718,2198,13852951,22979893,70,108,28,24,2015-09-01,Taipei
RadiumKagayaInternationalHotel,90,932,0.3452,7622,7103789,7553626,77,58,31,13,2015-09-01,Taipei
GrandViewResortBeitou,66,877,0.4429,12493,10956421,8586159,38,71,3,59,2015-09-01,Taipei
HumbleHouseTaipei,235,5698,0.8082,6005,34217283,25334864,91,121,85,0,2015-09-01,Taipei
GrandHotelTaipei,500,8998,0.5805,4348,39122309,59567320,137,228,126,52,2015-10-01,Taipei
AmbassadorHotelTaipei,422,10951,0.8371,4141,45352720,100485880,136,322,40,52,2015-10-01,Taipei
ImperialHotelTaipei,326,8766,0.8674,3303,28950696,10854997,79,78,4,42,2015-10-01,Taipei
GloriaPrinceHotelTaipei,214,5702,0.8595,3401,19393230,15424924,78,122,74,8,2015-10-01,Taipei
EmperorHotel,98,2514,0.8275,1609,4046194,915576,32,14,20,0,2015-10-01,Taipei
HotelRiverviewTaipei,211,5986,0.9152,2412,14439798,5161643,68,22,18,0,2015-10-01,Taipei
CaesarParkTaipei,478,14245,0.9613,3783,53885038,24619407,84,112,22,48,2015-10-01,Taipei
GoldenChinaHotel,215,5711,0.8569,2920,16676971,14796307,60,85,36,0,2015-10-01,Taipei
SanWant,268,8068,0.9711,2993,24144890,31884634,93,231,65,0,2015-10-01,Taipei
BrotherHotelTaipei,250,4421,0.5705,2989,13212625,45977250,110,295,72,13,2015-10-01,Taipei
SantosHotel,286,8208,0.9258,2727,22387245,12691674,75,82,34,16,2015-10-01,Taipei
LandisTaipei,209,5690,0.8782,4738,26961206,17502741,68,115,35,42,2015-10-01,Taipei
UnitedHotel,243,6053,0.8035,2678,16208695,3795685,59,29,5,42,2015-10-01,Taipei
SheratonGrandeTaipeiHotel,688,16192,0.7592,5978,96793945,121656910,221,463,204,45,2015-10-01,Taipei
HotelRoyalNikkoTaipei,202,5788,0.9243,4773,27628206,26174455,71,149,24,47,2015-10-01,Taipei
HowardPlazaHotelTaipei,606,14486,0.7711,4255,61637e3,57398e3,241,380,78,76,2015-10-01,Taipei
GrandHyattTaipei,853,19499,0.73740000000000006,6097,118881456,99164138,149,360,177,76,2015-10-01,Taipei
RegentTaipei,538,14065,0.8433,5796,81516433,127885538,280,593,170,21,2015-10-01,Taipei
SherwoodTaipei,343,9121,0.8578,5016,45747054,32767194,153,260,54,67,2015-10-01,Taipei
TaipeiMarriottHotel,244,2608,0.3448,6149,16037645,16698115,112,169,51,28,2015-10-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,8016,0.6157,6652,53323396,72644146,165,240,71,83,2015-10-01,Taipei
WestinTaipei,288,7498,0.8398,6125,45923218,73452204,143,282,180,0,2015-10-01,Taipei
MiramarGardenTaipei,203,5720,0.9089,2578,14744743,7162785,83,55,33,0,2015-10-01,Taipei
LeMeridienTaipei,160,4097,0.826,9485,38859298,74057810,104,245,94,0,2015-10-01,Taipei
WTaipei,405,10983,0.8748,9393,103159575,71385533,204,213,101,0,2015-10-01,Taipei
FirstHotel,176,4488,0.8226,1922,8627472,2814206,13,0,15,14,2015-10-01,Taipei
LeofooHotelTaipei,226,6489,0.9262,1635,10609940,11046287,33,79,10,16,2015-10-01,Taipei
HotelRoyalBeitou,50,607,0.3916,6295,3821205,2918691,28,30,2,41,2015-10-01,Taipei
UHotelTaipeiNanjingEastRoad,56,702,0.4044,2998,2104278,433056,9,7,8,0,2015-10-01,Taipei
RivieraHotel,112,2676,0.7707,3262,8729686,8516772,46,48,30,0,2015-10-01,Taipei
TaipeiGalaHotel,150,4069,0.8751,3011,12251197,8190057,33,58,28,14,2015-10-01,Taipei
CosmosHotelTaipei,225,6791,0.9736,3126,21230527,39792874,86,90,20,38,2015-10-01,Taipei
FullonHotelTaipeiCentral,120,3027,0.8137,3641,11020828,15436726,48,87,10,11,2015-10-01,Taipei
CapitalHotel,129,3695,0.924,4178,15437710,3081404,33,44,15,31,2015-10-01,Taipei
PalaisdeChineHotel,286,7795,0.8792,5121,39921962,54359538,126,170,63,0,2015-10-01,Taipei
TaipeiGardenHotel,241,7029,0.9408,2610,18348341,26614046,63,103,28,23,2015-10-01,Taipei
RadiumKagayaInternationalHotel,90,1241,0.4448,8916,11065326,8806798,78,55,31,13,2015-10-01,Taipei
GrandViewResortBeitou,66,1021,0.499,13896,14188232,11909632,40,73,3,65,2015-10-01,Taipei
HumbleHouseTaipei,235,6220,0.8538,6117,38047542,32128831,91,119,85,0,2015-10-01,Taipei
GrandHotelTaipei,500,12051,0.8034,4041,48697839,58126440,135,225,133,48,2015-11-01,Taipei
AmbassadorHotelTaipei,422,10888,0.86,4196,45688378,99487847,138,327,44,54,2015-11-01,Taipei
ImperialHotelTaipei,326,8656,0.8851,3330,28821885,9122342,78,77,4,42,2015-11-01,Taipei
GloriaPrinceHotelTaipei,217,5814,0.8931,3263,18971566,12024561,80,125,75,8,2015-11-01,Taipei
EmperorHotel,98,2497,0.8493,1755,4383165,980324,31,14,20,0,2015-11-01,Taipei
HotelRiverviewTaipei,211,5918,0.9349,2442,14454097,3275038,65,22,18,0,2015-11-01,Taipei
CaesarParkTaipei,478,13968,0.9741,3760,52517857,23003277,83,109,24,48,2015-11-01,Taipei
GoldenChinaHotel,215,5487,0.8507,2951,16193690,14265668,60,84,36,0,2015-11-01,Taipei
SanWant,268,7781,0.9678,2950,22952995,28812561,93,223,72,0,2015-11-01,Taipei
BrotherHotelTaipei,250,4316,0.5755,2986,12886984,43360893,110,295,72,13,2015-11-01,Taipei
SantosHotel,287,7889,0.9163,2750,21693858,13401566,75,69,27,23,2015-11-01,Taipei
LandisTaipei,209,5548,0.8848,4808,26674764,18137884,69,114,35,43,2015-11-01,Taipei
UnitedHotel,243,5516,0.7567,2640,14564638,3737722,63,27,5,40,2015-11-01,Taipei
SheratonGrandeTaipeiHotel,688,17585,0.852,6092,107126493,123245289,222,467,203,45,2015-11-01,Taipei
HotelRoyalNikkoTaipei,202,5718,0.9436,4887,27942634,24887842,74,152,25,47,2015-11-01,Taipei
HowardPlazaHotelTaipei,606,15425,0.8485,4296,66259e3,4952e4,233,375,76,78,2015-11-01,Taipei
GrandHyattTaipei,853,20649,0.8069,5970,123281165,99115985,149,356,179,85,2015-11-01,Taipei
RegentTaipei,538,13633,0.8447,6127,83534326,148660963,276,602,172,21,2015-11-01,Taipei
SherwoodTaipei,343,8666,0.8422,5335,46230904,32041097,153,259,57,64,2015-11-01,Taipei
TaipeiMarriottHotel,244,3907,0.5337,6652,25990441,25126186,114,168,82,0,2015-11-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,9664,0.767,6391,61762604,66755630,162,240,70,86,2015-11-01,Taipei
WestinTaipei,288,7948,0.9199,6573,52244543,75742277,161,305,137,0,2015-11-01,Taipei
MiramarGardenTaipei,203,5718,0.9389,2593,14824712,6993939,86,55,32,0,2015-11-01,Taipei
LeMeridienTaipei,160,4075,0.849,9193,37460166,73207499,104,240,95,0,2015-11-01,Taipei
WTaipei,405,10627,0.8747,9367,99540544,63267185,201,220,102,0,2015-11-01,Taipei
FirstHotel,176,4625,0.8759,1967,9098045,2665440,14,0,14,13,2015-11-01,Taipei
LeofooHotelTaipei,226,6237,0.9199,1635,10199666,11806158,33,82,10,18,2015-11-01,Taipei
HotelRoyalBeitou,50,752,0.5013,6450,4850474,2845146,21,30,2,42,2015-11-01,Taipei
UHotelTaipeiNanjingEastRoad,56,880,0.5238,3387,2980671,401402,10,7,12,0,2015-11-01,Taipei
RivieraHotel,112,2702,0.8042,3284,8873103,6740895,46,48,30,0,2015-11-01,Taipei
TaipeiGalaHotel,150,3911,0.8691,3102,12130637,7406992,31,61,28,14,2015-11-01,Taipei
CosmosHotelTaipei,225,6661,0.9868,3097,20630136,36952365,86,91,20,39,2015-11-01,Taipei
FullonHotelTaipeiCentral,120,3143,0.8731,3775,11865004,13869606,47,88,12,13,2015-11-01,Taipei
CapitalHotel,129,3639,0.9403,4175,15192825,3343109,35,42,16,32,2015-11-01,Taipei
PalaisdeChineHotel,286,7974,0.9294,4961,39557182,52341865,129,169,68,0,2015-11-01,Taipei
TaipeiGardenHotel,241,6742,0.9325,2483,16738093,25832427,66,106,28,23,2015-11-01,Taipei
RadiumKagayaInternationalHotel,90,1351,0.5004,8751,11822279,9267092,82,55,30,13,2015-11-01,Taipei
GrandViewResortBeitou,66,1172,0.5919,14816,17363779,12622866,38,77,3,65,2015-11-01,Taipei
HumbleHouseTaipei,235,6171,0.8753,6172,38085973,30851152,89,120,84,0,2015-11-01,Taipei
GrandHotelTaipei,500,11502,0.7421,3965,45599706,56008883,138,234,126,55,2015-12-01,Taipei
AmbassadorHotelTaipei,422,10569,0.8079,3923,41459945,102603301,140,321,38,62,2015-12-01,Taipei
ImperialHotelTaipei,326,8476,0.8387,3443,29183722,8713740,79,77,4,42,2015-12-01,Taipei
GloriaPrinceHotelTaipei,217,6091,0.9055,3098,18870293,11691775,81,124,77,8,2015-12-01,Taipei
EmperorHotel,98,2519,0.8292,1634,4116614,1043891,32,14,21,0,2015-12-01,Taipei
HotelRiverviewTaipei,211,5794,0.8858,2796,16199466,2303530,65,22,16,0,2015-12-01,Taipei
CaesarParkTaipei,478,14527,0.9804,3785,54987512,23734498,87,110,24,49,2015-12-01,Taipei
GoldenChinaHotel,215,5755,0.8635,2996,17239346,14155523,60,86,36,0,2015-12-01,Taipei
SanWant,268,8020,0.9653,3378,27094817,31279604,93,230,72,0,2015-12-01,Taipei
BrotherHotelTaipei,250,4143,0.5346,3085,12781016,46101671,110,295,72,13,2015-12-01,Taipei
SantosHotel,287,7880,0.8857,2159,17016366,11508051,82,75,5,38,2015-12-01,Taipei
LandisTaipei,209,5312,0.8199,5314,28230307,19057396,71,112,35,44,2015-12-01,Taipei
UnitedHotel,243,5664,0.7519,2692,15247829,3482028,62,28,5,40,2015-12-01,Taipei
SheratonGrandeTaipeiHotel,688,15335,0.719,6038,92588250,122887342,219,468,201,44,2015-12-01,Taipei
HotelRoyalNikkoTaipei,202,5823,0.9299,5012,29185450,26721066,75,152,24,47,2015-12-01,Taipei
HowardPlazaHotelTaipei,606,13886,0.7392,4533,62946e3,52829e3,233,380,77,78,2015-12-01,Taipei
GrandHyattTaipei,853,18202,0.6883,6810,123950468,101255023,149,365,179,76,2015-12-01,Taipei
